waao	du	14.000000
waao	u	14.000000
hati	aa	18.000000
hati	haa	18.000000
hati	chaa	18.000000
hati	a	18.000000
nwa	a	40.000000
nwa	aa	22.000000
nwa	saa	22.000000
nwa	ma	18.000000
hata	aa	18.000000
hata	haa	18.000000
hata	chaa	18.000000
hata	a	18.000000
hate	a	18.000000
hate	e	18.000000
hate	j	22.000000
hate	buj	22.000000
hate	re	18.000000
hate	ra	18.000000
hate	uj	22.000000
suus	aha	26.000000
suus	a	26.000000
suus	ha	26.000000
suus	maha	26.000000
auk	m	14.000000
aun	k	10.000000
aun	hil	60.000000
aun	il	60.000000
aun	khil	60.000000
aun	l	60.000000
aus	m	66.000000
aur	d	10.000000
ehfi	m	26.000000
aut	m	14.000000
aate	b	52.000000
aate	j	6.000000
ajhe	m	22.000000
ajhe	am	22.000000
ajhe	sam	22.000000
upa	ru	10.000000
upa	r	10.000000
upa	u	10.000000
ekat	aqe	26.000000
ekat	e	26.000000
ekat	qe	26.000000
ekat	haqe	26.000000
faen	a	36.000000
faen	va	18.000000
faen	wa	18.000000
jhes	mu	22.000000
jhes	u	22.000000
ahao	b	14.000000
ngee	a	36.000000
ngee	ra	36.000000
jhey	mu	14.000000
jhey	tu	14.000000
jhey	u	28.000000
aly	h	10.000000
aly	ch	10.000000
tana	i	50.000000
tana	ki	36.000000
mna	aa	18.000000
mna	a	18.000000
mna	saa	18.000000
chen	aa	14.000000
chen	a	14.000000
chen	naa	14.000000
ahak	r	26.000000
ahak	b	36.000000
ahak	m	90.000000
ahak	d	18.000000
usbh	h	22.000000
usbh	kh	22.000000
chei	aa	14.000000
chei	a	28.000000
chei	naa	14.000000
chei	na	14.000000
nen	a	18.000000
nen	pa	18.000000
nen	apa	18.000000
nen	sapa	18.000000
faye	a	36.000000
faye	wa	36.000000
nee	a	14.000000
nee	agi	18.000000
nee	i	18.000000
nee	ragi	18.000000
nee	pa	14.000000
nee	apa	14.000000
nee	gi	18.000000
kur	s	90.000000
kur	us	90.000000
kur	mus	90.000000
asia	k	6.000000
ain	a	30.000000
ain	arachha	30.000000
ain	chha	30.000000
ain	ham	14.000000
ain	h	16.000000
ain	am	14.000000
ain	m	30.000000
ain	hha	30.000000
ain	achha	30.000000
ain	rachha	30.000000
ain	ha	30.000000
ain	parachha	30.000000
ney	a	30.000000
ney	aa	10.000000
ney	e	20.000000
ney	ba	10.000000
ney	p	14.000000
ney	ee	20.000000
ney	dee	10.000000
ney	ap	14.000000
ney	jee	10.000000
ney	ja	10.000000
ney	jaa	10.000000
aii	a	26.000000
aii	rchha	26.000000
aii	chha	26.000000
aii	archha	26.000000
aii	hha	26.000000
aii	parchha	26.000000
aii	ha	26.000000
sbhu	u	22.000000
sbhu	khu	22.000000
sbhu	hu	22.000000
mee	um	22.000000
mee	m	22.000000
mee	u	14.000000
mee	hu	14.000000
heri	t	10.000000
mea	a	18.000000
mea	ha	18.000000
nawa	a	36.000000
nawa	ma	36.000000
hera	a	18.000000
hera	e	18.000000
hera	che	18.000000
hera	t	10.000000
hera	ga	18.000000
hera	he	18.000000
men	a	14.000000
men	ha	14.000000
men	u	14.000000
men	hu	14.000000
mei	a	14.000000
mei	h	14.000000
mei	ha	14.000000
mei	u	14.000000
mei	hu	14.000000
atei	a	14.000000
atei	b	14.000000
atei	ba	14.000000
oshe	h	18.000000
oshe	beh	18.000000
oshe	eh	18.000000
aqee	h	26.000000
ech	b	36.000000
mey	a	14.000000
mey	ha	14.000000
mey	u	14.000000
mey	hu	14.000000
aky	iy	10.000000
aky	y	10.000000
aky	kiy	10.000000
lajh	u	36.000000
kkha	i	14.000000
kkha	li	14.000000
kkho	n	18.000000
kkho	aan	18.000000
kkho	an	18.000000
k	behe	18.000000
k	beha	36.000000
k	chhal	30.000000
k	haki	26.000000
k	ala	44.000000
k	ama	18.000000
k	ha	462.000000
k	hal	58.000000
k	ham	18.000000
k	la	80.000000
k	haa	18.000000
k	li	42.000000
k	ubara	26.000000
k	jis	36.000000
k	mubaara	26.000000
k	ada	28.000000
k	un	14.000000
k	dekh	42.000000
k	khul	14.000000
k	lada	28.000000
k	jisa	18.000000
k	ya	10.000000
k	de	210.000000
k	uhj	44.000000
k	da	28.000000
k	hala	44.000000
k	aano	26.000000
k	aank	18.000000
k	ma	72.000000
k	is	50.000000
k	shu	56.000000
k	jha	44.000000
k	d	14.000000
k	tuma	36.000000
k	jhi	22.000000
k	h	404.000000
k	maha	90.000000
k	l	94.000000
k	baara	26.000000
k	mahe	72.000000
k	sha	70.000000
k	jhu	36.000000
k	qi	26.000000
k	﻿	22.000000
k	aan	212.000000
k	ei	14.000000
k	eh	190.000000
k	ek	28.000000
k	ee	54.000000
k	haqi	26.000000
k	za	22.000000
k	bara	26.000000
k	ara	52.000000
k	see	28.000000
k	hhal	30.000000
k	mujha	22.000000
k	mus	90.000000
k	armaano	26.000000
k	maano	26.000000
k	ujhi	22.000000
k	reh	36.000000
k	dek	28.000000
k	uma	54.000000
